SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
168;"23.32.00";2;Fremstilling af mursten, teglsten og byggematerialer af brændt ler;Branchen omfatter fremstilling af mursten, tagsten, drænrør og andre konstruktionsmæssige byggematerialer af brændt ler.;"- Fremstilling af konstruktionsmæssige ikke-ildfaste byggematerialer af ler:
- Keramiske mursten, tagsten, skorstenspiber, drænrør mv.
- Fremstilling af gulvblokke af brændt ler";;"- Fremstilling af ildfaste keramiske produkter, jf.<ref>23.20.00</ref>
- Fremstilling af ikke-konstruktionsmæssige, ikke-ildfaste keramiske produkter, jf.<ref>23.4</ref>
- Fremstilling af ildfaste keramiske artikler, jf.<ref>23.20.00</ref>";;
169;"23.41.00";2;Fremstilling af keramiske husholdningsartikler og pyntegenstande;Branchen omfatter fremstilling af husholdningsartikler og pyntegenstande af keramisk materiale, fx service, køkkentøj og figurer af keramik.;"- Fremstilling af keramisk bordservice og andre husholdnings- og toiletartikler
- Fremstilling af statuetter og andre pyntegenstande af keramisk materiale";;"- Fremstilling af bijouteri, jf.<ref>32.13.00</ref>
- Fremstilling af legetøj af keramisk materiale, jf.<ref>32.40.00</ref>";;
170;"23.42.00";2;Fremstilling af keramiske sanitetsartikler;Branchen omfatter fremstilling af keramiske sanitetsartikler, fx vaske, badekar og toiletkummer. Fremstilling af andet keramisk inventar er også omfattet.;"- Fremstilling af keramiske sanitetsartikler, fx vaskekummer, badekar, bideter, klosetskåle mv.
- Fremstilling af andet keramisk inventar";;"- Fremstilling af ildfaste keramiske produkter, jf.<ref>23.20.00</ref>
- Fremstilling af keramiske byggematerialer, jf.<ref>23.3</ref>";;
171;"23.43.00";2;Fremstilling af keramiske isolatorer og isoleringsdele;Branchen omfatter fremstilling af elektriske isolatorer og isoleringsdele af keramisk materiale.;- Fremstilling af elektriske isolatorer og isoleringsdele af keramisk materiale;;- Fremstilling af ildfaste keramiske produkter, jf.<ref>23.20.00</ref>;;
172;"23.44.00";2;Fremstilling af andre keramiske produkter til teknisk brug;Branchen omfatter fremstilling af keramiske artikler til laboratorier, industriel eller teknisk brug.;- Fremstilling af keramiske artikler til laboratoriebrug, kemisk og industriel brug;;"- Fremstilling af kunststen (fx syntetisk fremstillet marmor), jf.<ref>22.23.00</ref>
- Fremstilling af ildfaste keramiske produkter, jf.<ref>23.20.00</ref>
- Fremstilling af keramiske byggematerialer, jf.<ref>23.3</ref>";;
173;"23.49.00";2;Fremstilling af andre keramiske produkter;Branchen omfatter fremstilling af keramiske potter, krukker ol til transport eller emballering af varer. Branchen omfatter også andre keramiske produkter, som ikke er nævnt i andre brancher, der starter med 23.;"- Fremstilling af keramiske potter, krukker og lignende artikler af den type, der bruges til transport eller emballering af varer
- Fremstilling af keramiske produkter i.a.n.";;"- Fremstilling af keramiske sanitetsartikler, jf.<ref>23.42.00</ref>
- Fremstilling af kunstige tænder, jf.<ref>32.50.00</ref>";;
174;"23.51.00";2;Fremstilling af cement;Branchen omfatter fremstilling af bla hydraulisk cement og cementklinker. Fremstilling af færdig- eller tørblandet mørtel og beton er ikke omfattet.;- Fremstilling af cementklinker og hydraulisk cement, herunder portlandcement, aluminatcement, slaggecement og superfosfatcement;;"- Fremstilling af ildfast mørtel, beton mv., jf.<ref>23.20.00</ref>
- Fremstilling af færdigblandet og tørblandet beton og mørtel, jf.<ref>23.63</ref>,<ref>23.64</ref>
- Fremstilling af cementprodukter, jf.<ref>23.69</ref>
- Fremstilling af dentalcement, jf.<ref>32.50.00</ref>";;
175;"23.52.00";2;Fremstilling af kalk og gips;Branchen omfatter fremstilling af kalk og gips. Fremstilling af gipsprodukter og gipsvarer er ikke omfattet.;"- Fremstilling af ulæsket kalk, læsket kalk og hydratkalk
- Fremstilling af gips af brændt gips eller brændt sulfat";- Fremstilling af brændt dolomit;- Fremstilling af gipsprodukter, jf. 23.62, 23.69;;
176;"23.61.00";2;Fremstilling af byggematerialer af beton;Branchen omfatter fremstilling af byggematerialer af beton. Det kan være fliser, plader, rør og piller af beton, men også større præfabrikerede bygningselementer, hvor hovedmaterialet er beton eller cement.;"- Betonvarefabrik
- Fremstilling af produkter af færdigstøbt beton, cement eller kunststen, der anvendes som byggematerialer:
- Fliser, kantsten, mursten, brædder, plader, paneler, rør, piller mv.
- Fremstilling af præfabrikerede elementer til bygge- og anlægsarbejder af cement, beton og kunststen";;;;
177;"23.62.00";2;Fremstilling af byggematerialer af gips;Branchen omfatter fremstilling af byggematerialer af gips, fx plader og paneler.;"- Fremstilling af gipsartikler til byggeri:
- Brædder, plader, paneler mv.";;;;
178;"23.63.00";2;Fremstilling af færdigblandet beton;Branchen omfatter fremstilling af færdigblandet og tørblandet beton og mørtel. Fremstilling af pulvermørtel henvises til 23.64.00;- Fremstilling af færdigblandet og tørblandet beton og mørtel;;- Fremstilling af ildfast cement, jf.<ref>23.20.00</ref>;;
179;"23.64.00";2;Fremstilling af mørtel;Branchen omfatter fremstilling af pulvermørtel. Fremstilling af tørblandet beton og mørtel henvises til 23.63.00;- Fremstilling af pulvermørtel;;"- Fremstilling af ildfast mørtel, jf.<ref>23.20.00</ref>
- Fremstilling af tørblandet beton og mørtel, jf.<ref>23.63.00</ref>";;
180;"23.65.00";2;Fremstilling af fibercement;Branchen omfatter fremstilling af fibercement. Branchen omfatter også fremstilling af produkter af asbestcement og cellulosefibercement, fx bølgeplader, tagsten, krukker og rør.;"- Fremstilling af fibercement
- Fremstilling af byggematerialer af plantedele (træuld, strå, rør, siv) agglomereret med cement, gips eller andre mineralske bindemidler
- Fremstilling af produkter af asbestcement eller cellulosefibercement o.l.:
- Bølgeplader, andre plader, paneler, tagsten, rør, beholdere, trug, kummer, køkkenvaske, krukker, møbler, vinduesrammer mv.";;;;
181;"23.69.00";2;Fremstilling af andre beton-, gips- og cementprodukter;Branchen omfatter fremstilling af produkter af beton, gips, cement eller kunststen, fx statuer, møbler, relieffer, krukker mv. Byggematerialer er ikke omfattet.;"- Fremstilling af andre produkter af beton, gips, cement eller kunststen:
- Statuer, møbler, bas- og haut-relieffer, vaser, urtepotter mv.";;;;
182;"23.70.00";2;Tilhugning, tilskæring og færdigbearbejdning af sten;Branchen omfatter tilskæring, tilhugning og færdigbearbejdning af sten - til byggeri, veje, kirkegårde mv. Fremstilling af møbler og statuer af sten er også omfattet.;"- Tilskæring, tilhugning og færdigbearbejdning af sten til anvendelse i byggeri, på kirkegårde, på veje mv.
- Fremstilling af møbler af sten
- Fremstilling af statuer af sten, bortset fra kunstneriske originaler";;"- Virksomhed i stenbrud, fx fremstilling af groft tilhuggede sten, jf.<ref>08.11.00</ref>
- Fremstilling af møllesten, slibesten og lignende produkter, jf.<ref>23.91.00</ref>";;
183;"23.91.00";2;Fremstilling af slibemidler;Branchen omfatter fremstilling af naturlige og kunstige slibemidler, fx sandpapir og slibesten. Fremstilling af møllesten er også omfattet.;- Fremstilling af møllesten, slibesten samt naturlige og kunstige slibemidler, herunder slibemidler på blødt underlag (fx sandpapir);;;;
184;"23.99.10";2;Fremstilling af asfalt og tagpap;Branchen omfatter fremstilling af asfalt, produkter af asfalt og tagpap. Udlægning af asfalt henvises til 42.11.00;"- Asfaltfabrikker
- Fremstilling af produkter af asfalt og lignende materiale, fx asfaltbaserede klæbemidler, kultjærebeg mv.
- Fremstilling af tagpap";;"- Udlægning af asfalt, jf.<ref>42.11.00</ref>
- Pålægning af tagpap, jf.<ref>43.91.00</ref>";;
185;"23.99.90";2;Fremstilling af andre ikke-metalholdige mineralske produkter i.a.n.;Branchen omfatter fremstilling af en række ikke-metalholdige mineralske produkter, bl.a. isoleringsmaterialer (fx mineraluld), friktionsmaterialer, produkter af tørv, kattegrus, kul- og grafitprodukter. Branchen omfatter kun ikke-metalholdige mineralske produkter, der ikke er medtaget i andre brancher, der begynder med 23.9;"- Fremstilling af friktionsmateriale og umonterede dele af sådant materiale med en base af mineralske stoffer eller cellulose
- Fremstilling af mineralske isoleringsmaterialer:
- Slaggeuld, stenuld og lignende mineraluld; ekspanderet vermiculit, ekspanderet ler og lignende varmeisolerende, lydisolerende eller lydabsorberende materialer
- Fremstilling af produkter af forskellige mineralske stoffer:
- Forarbejdet glimmer og produkter af glimmer, tørv, grafit (bortset fra elektriske artikler) mv.
- Fremstilling af kul- og grafitfibre og -produkter (bortset fra elektroder og elektriske anvendelsesområder)
- Fremstilling af kunstig korund
- Fremstilling af kattegrus
";"- Fremstilling af kalcineret kaolin
- Fremstilling af tørret og malet lerpulver til keramikindustrien";"- Fremstilling af glasfiber, glasuld og ikke-vævede produkter af glasuld, jf.<ref>23.14.00</ref>
- Fremstilling af grafitelektroder, jf.<ref>27.90.00</ref>";;
186;"24.10.00";2;Fremstilling af råjern og råstål samt jernlegeringer;Branchen omfatter drift af højovne samt fremstilling af råjern, råstål og jernlegeringer. Fremstilling af ingots, stænger og andre halvfabrikata af jern, ulegeret og legeret (fx rustfrit) stål er også omfattet.;"- Drift af højovne, omdannelse af stål, valseværker og færdigvalseværker; produktion af jern af stor renhed ved hjælp af elektrolyse eller andre kemiske processer
- Produktion af råjern og spejljern i stykker, blokke og andre primære former
- Produktion af ferrolegeringer
- Produktion af halvfabrikata af jern og ulegeret stål
- Fremstilling af jernpulver
- Produktion af ingots, andre primære former og halvfabrikata af rustfrit stål eller andet legeret stål
- Produktion af vinkler og andre former og sektioner af jern, rustfrit stål eller andet legeret og ulegeret stål
- Produktion af stænger af rustfrit stål eller andet legeret stål
- Produktion af fladvalsede produkter af jern og ulegeret stål
- Produktion af stænger af jern og ulegeret stål
- Produktion af jernbanemateriel af stål";;- Koldtrækning af stænger, jf.<ref>24.31.00</ref>;;
187;"24.20.00";2;Fremstilling af rør og hule profiler og tilhørende fittings af stål;Branchen omfatter fremstilling af rør, hule profiler og tilhørende fittings af stål.;"- Fremstilling af sømløse rør med cirkulært eller ikke-cirkulært tværsnit og af emner med cirkulært tværsnit til yderligere forarbejdning ved varmvalsning, varmpresning eller andre varmeprocesser af et halvfabrikata, som kan være en stang eller en barre, fremstillet ved varmevalsning eller strengstøbning
- Fremstilling af sømløse præcisions- og ikke-præcisionsrør fra varmvalsede eller varmpressede barrer ved yderligere forarbejdning, ved koldtrækning eller koldvalsning af rør med cirkulært tværsnit og ved koldtrækning udelukkende af rør med ikke-cirkulært tværsnit og hule profiler
- Fremstilling af svejsede rør med en udvendig diameter på mindst 406,4 mm, og som er koldbehandlet fra varmvalsede flade produkter, der er svejset på langs eller spiralsnoet
- Fremstilling af svejsede rør med en udvendig diameter på mindst 406,4 mm i cirkulært tværsnit ved hjælp af konstant kold- eller varmdeformation af varm- eller koldvalsede flade produkter, der er svejset på langs eller spiralsnoet, og med ikke-cirkulært tværsnit ved hjælp af varm- eller kolddeformation fra varm- eller koldvalsede bånd, der er svejset på langs
- Fremstilling af svejsede præcisionsrør med en udvendig diameter på under 406,4 mm ved varm- eller kolddeformation af varm- eller koldvalsede bånd og svejset på langs, leveret som svejset eller yderligere bearbejdet, ved koldtrækning eller koldvalsning eller kold formation til rør med ikke-cirkulært tværsnit
- Fremstilling af flade flanger og flanger med smedede kraver ved bearbejdning af varmvalsede flade stålprodukter
- Fremstilling af stuksvejsede fittings som fx vinkelrør og reduktioner ved smedning af varmvalsede sømløse stålrør
- Gevindskårne rør og andre rørfittings af stål
- Fremstilling af aluminium pulver";;- Fremstilling af sømløse stålrør ved centrifugalstøbning, jf.<ref>24.52.00</ref>;;
188;"24.31.00";2;Fremstilling af stænger ved koldtrækning;Branchen omfatter fremstilling af stænger og massive sektioner af stål ved koldtrækning, slibning og drejning.;- Fremstilling af stænger og massive sektioner af stål ved koldtrækning, slibning og drejning;;- Trådtrækning, jf.<ref>24.34.00</ref>;;
189;"24.32.00";2;Fremstilling af stålbånd ved koldvalsning;Branchen omfatter fremstilling af fladvalsede stålprodukter ved koldvalsning af varmevalsede flade produkter eller stålstænger. Produkterne kan være med eller uden belægning, oprullede eller i lige stykker - bredden skal være mindre end 600 mm.;- Fremstilling af fladvalsede stålprodukter, med eller uden belægning, oprullede eller i lige stykker med en bredde på mindre end 600 mm ved koldvalsning af varmevalsede flade produkter eller stålstænger;;;;
190;"24.33.00";2;Koldbehandling;Branchen omfatter koldbehandling af stål, herunder trinformning på valseværk, foldning af fladvalsede produkter og fremstilling af koldformede rillede plader.;"- Koldbehandling
- Fremstilling af åbne sektioner ved trinformning på valseværk eller foldning af fladvalsede stålprodukter på presser
- Fremstilling af koldformede eller koldfoldede rillede plader og sandwichpaneler";;;;
191;"24.34.00";2;Fremstilling af tråd ved koldtrækning;Branchen omfatter fremstilling af ståltråd ved koldtrækning af valsetråd af stål. Fremstilling af trådvarer er ikke omfattet.;- Fremstilling af ståltråd ved koldtrækning af valsetråd af stål;;"- Trækning af stænger og faste sektioner af stål, jf.<ref>24.31.00</ref>
- Fremstilling af afledte trådvarer, jf.<ref>25.93.00</ref>";;
192;"24.41.00";2;Fremstilling af ædelmetaller;Branchen omfatter fremstilling af ædelmetaller, som guld, sølv, platin mv, og legeringer af disse.;"- Fremstilling af ædelmetaller:
- Fremstilling og raffinering af uforarbejdede eller forarbejdede ædelmetaller: guld,
sølv, platin mv. fra malm og skrot
- Fremstilling af ædelmetallegeringer
- Fremstilling af halvfabrikata af ædelmetaller
- Fremstilling af sølv dubleret på uædle metaller
- Fremstilling af guld dubleret på uædle metaller eller sølv
- Fremstilling af platin og platinmetaller dubleret på guld, sølv eller uædle metaller";"- Fremstilling af tråd af disse metaller ved trækning
- Fremstilling af folielaminater af ædelmetaller";"- Fremstilling af juvelerarbejder af ædelmetal, jf. <ref>32.12.00</ref>
- Støbning af ikke-jernholdige metalprodukter, jf. <ref>24.53.00</ref> og <ref>24.54.00</ref>";;
193;"24.42.00";2;Fremstilling af aluminium;Branchen omfatter fremstilling af aluminium, aluminiumlegeringer og komponenter af aluminium. Branchen omfatter også fremstilling af aluminiumstråd ved trækning og af aluminiumsfolie og -folielaminater.;"- Fremstilling af aluminium af alumina
- Fremstilling af aluminium ved elektrolytisk raffinering af aluminiumskrot
- Fremstilling af aluminiumlegeringer
- Fremstilling af komponenter af aluminium";"- Fremstilling af tråd af disse metaller ved trækning
- Fremstilling af aluminiumoxid (alumina)
- Fremstilling af indpakningsfolie af aluminium
- Fremstilling af aluminiumfolielaminater fremstillet af aluminiumfolie som primær bestanddel";- Støbning af ikke-jernholdige metalprodukter, jf.<ref>24.53.00</ref> og <ref>24.54.00</ref>;;
